PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
PRT,1,1936,.,6,1,15697,O,.,.,.,1,1
PRT,1,1936,.,7,1,16023,O,.,.,.,1,1
PRT,1,1936,.,8,1,16462,O,.,.,.,1,1
PRT,1,1936,.,9,1,15685,O,.,.,.,1,1
PRT,1,1936,.,10,1,17187,O,.,.,.,1,1
PRT,1,1936,.,11,1,16259,O,.,.,.,1,1
PRT,1,1936,.,12,1,16232,O,.,.,.,1,1
PRT,1,1936,.,TOT,1,205615,O,.,.,.,1,1
PRT,1,1937,.,1,1,17488,O,.,.,.,1,1
PRT,1,1937,.,2,1,16461,O,.,.,.,1,1
PRT,1,1937,.,3,1,19186,O,.,.,.,1,1
PRT,1,1937,.,4,1,17587,O,.,.,.,1,1
PRT,1,1937,.,5,1,16558,O,.,.,.,1,1
PRT,1,1937,.,6,1,14826,O,.,.,.,1,1
PRT,1,1937,.,7,1,14077,O,.,.,.,1,1
PRT,1,1937,.,8,1,17972,O,.,.,.,1,1
PRT,1,1937,.,9,1,16309,O,.,.,.,1,1
PRT,1,1937,.,10,1,16095,O,.,.,.,1,1
PRT,1,1937,.,11,1,15415,O,.,.,.,1,1
PRT,1,1937,.,12,1,16153,O,.,.,.,1,1
PRT,1,1937,.,TOT,1,198127,O,.,.,.,1,1
PRT,1,1938,.,1,1,17725,O,.,.,.,1,1
PRT,1,1938,.,2,1,16462,O,.,.,.,1,1
PRT,1,1938,.,3,1,19063,O,.,.,.,1,1
PRT,1,1938,.,4,1,16537,O,.,.,.,1,1
PRT,1,1938,.,5,1,15881,O,.,.,.,1,1
PRT,1,1938,.,6,1,14756,O,.,.,.,1,1
PRT,1,1938,.,7,1,16122,O,.,.,.,1,1
PRT,1,1938,.,8,1,15744,O,.,.,.,1,1
PRT,1,1938,.,9,1,16268,O,.,.,.,1,1
PRT,1,1938,.,10,1,16939,O,.,.,.,1,1
PRT,1,1938,.,11,1,16342,O,.,.,.,1,1
PRT,1,1938,.,12,1,17628,O,.,.,.,1,1
PRT,1,1938,.,TOT,1,199467,O,.,.,.,1,1
PRT,1,1939,.,1,1,19067,O,.,.,.,1,1
PRT,1,1939,.,2,1,16935,O,.,.,.,1,1
PRT,1,1939,.,3,1,18860,O,.,.,.,1,1
PRT,1,1939,.,4,1,17237,O,.,.,.,1,1
PRT,1,1939,.,5,1,16169,O,.,.,.,1,1
PRT,1,1939,.,6,1,14823,O,.,.,.,1,1
PRT,1,1939,.,7,1,15932,O,.,.,.,1,1
PRT,1,1939,.,8,1,15943,O,.,.,.,1,1
PRT,1,1939,.,9,1,15497,O,.,.,.,1,1
PRT,1,1939,.,10,1,16183,O,.,.,.,1,1
PRT,1,1939,.,11,1,16092,O,.,.,.,1,1
PRT,1,1939,.,12,1,16150,O,.,.,.,1,1
PRT,1,1939,.,TOT,1,198888,O,.,.,.,1,1
PRT,1,1940,.,1,1,16469,O,.,.,.,1,1
PRT,1,1940,.,2,1,16679,O,.,.,.,1,1
PRT,1,1940,.,3,1,17224,O,.,.,.,1,1
PRT,1,1940,.,4,1,15733,O,.,.,.,1,1
PRT,1,1940,.,5,1,15381,O,.,.,.,1,1
PRT,1,1940,.,6,1,14530,O,.,.,.,1,1
PRT,1,1940,.,7,1,14415,O,.,.,.,1,1
PRT,1,1940,.,8,1,14739,O,.,.,.,1,1
PRT,1,1940,.,9,1,16010,O,.,.,.,1,1
PRT,1,1940,.,10,1,15462,O,.,.,.,1,1
PRT,1,1940,.,11,1,15087,O,.,.,.,1,1
PRT,1,1940,.,12,1,16163,O,.,.,.,1,1
PRT,1,1940,.,TOT,1,187892,O,.,.,.,1,1
PRT,1,1941,.,1,1,16556,O,.,.,.,1,1
PRT,1,1941,.,2,1,15388,O,.,.,.,1,1
PRT,1,1941,.,3,1,16864,O,.,.,.,1,1
PRT,1,1941,.,4,1,16507,O,.,.,.,1,1
PRT,1,1941,.,5,1,15239,O,.,.,.,1,1
PRT,1,1941,.,6,1,14203,O,.,.,.,1,1
PRT,1,1941,.,7,1,14817,O,.,.,.,1,1
PRT,1,1941,.,8,1,15512,O,.,.,.,1,1
PRT,1,1941,.,9,1,15463,O,.,.,.,1,1
PRT,1,1941,.,10,1,15151,O,.,.,.,1,1
PRT,1,1941,.,11,1,14104,O,.,.,.,1,1
PRT,1,1941,.,12,1,14532,O,.,.,.,1,1
PRT,1,1941,.,TOT,1,184336,O,.,.,.,1,1
PRT,1,1942,.,1,1,15692,O,.,.,.,1,1
PRT,1,1942,.,2,1,14069,O,.,.,.,1,1
PRT,1,1942,.,3,1,17066,O,.,.,.,1,1
